# IRS Publication 946 (2025), Appendix A, Table A-3: Mid-Quarter Convention / Second Quarter
# https://www.irs.gov/pub/irs-pdf/p946.pdf - retrieved 2026-07-27
# Extracted by parse_p946_tables.py; verified by macrs.py.
year,3,5,7,10,15,20
1,41.67,25.00,17.85,12.50,6.25,4.688
2,38.89,30.00,23.47,17.50,9.38,7.148
3,14.14,18.00,16.76,14.00,8.44,6.612
4,5.30,11.37,11.97,11.20,7.59,6.116
5,,11.37,8.87,8.96,6.83,5.658
6,,4.26,8.87,7.17,6.15,5.233
7,,,8.87,6.55,5.91,4.841
8,,,3.34,6.55,5.90,4.478
9,,,,6.56,5.91,4.463
10,,,,6.55,5.90,4.463
11,,,,2.46,5.91,4.463
12,,,,,5.90,4.463
13,,,,,5.91,4.463
14,,,,,5.90,4.463
15,,,,,5.91,4.462
16,,,,,2.21,4.463
17,,,,,,4.462
18,,,,,,4.463
19,,,,,,4.462
20,,,,,,4.463
21,,,,,,1.673
