# IRS Publication 946 (2025), Appendix A, Table A-5: Mid-Quarter Convention / Fourth Quarter
# https://www.irs.gov/pub/irs-pdf/p946.pdf - retrieved 2026-07-27
# Extracted by parse_p946_tables.py; verified by macrs.py.
year,3,5,7,10,15,20
1,8.33,5.00,3.57,2.50,1.25,0.938
2,61.11,38.00,27.55,19.50,9.88,7.430
3,20.37,22.80,19.68,15.60,8.89,6.872
4,10.19,13.68,14.06,12.48,8.00,6.357
5,,10.94,10.04,9.98,7.20,5.880
6,,9.58,8.73,7.99,6.48,5.439
7,,,8.73,6.55,5.90,5.031
8,,,7.64,6.55,5.90,4.654
9,,,,6.56,5.90,4.458
10,,,,6.55,5.91,4.458
11,,,,5.74,5.90,4.458
12,,,,,5.91,4.458
13,,,,,5.90,4.458
14,,,,,5.91,4.458
15,,,,,5.90,4.458
16,,,,,5.17,4.458
17,,,,,,4.458
18,,,,,,4.459
19,,,,,,4.458
20,,,,,,4.459
21,,,,,,3.901
