# IRS Publication 946 (2025), Appendix A, Table A-4: Mid-Quarter Convention / Third Quarter
# https://www.irs.gov/pub/irs-pdf/p946.pdf - retrieved 2026-07-27
# Extracted by parse_p946_tables.py; verified by macrs.py.
year,3,5,7,10,15,20
1,25.00,15.00,10.71,7.50,3.75,2.813
2,50.00,34.00,25.51,18.50,9.63,7.289
3,16.67,20.40,18.22,14.80,8.66,6.742
4,8.33,12.24,13.02,11.84,7.80,6.237
5,,11.30,9.30,9.47,7.02,5.769
6,,7.06,8.85,7.58,6.31,5.336
7,,,8.86,6.55,5.90,4.936
8,,,5.53,6.55,5.90,4.566
9,,,,6.56,5.91,4.460
10,,,,6.55,5.90,4.460
11,,,,4.10,5.91,4.460
12,,,,,5.90,4.460
13,,,,,5.91,4.461
14,,,,,5.90,4.460
15,,,,,5.91,4.461
16,,,,,3.69,4.460
17,,,,,,4.461
18,,,,,,4.460
19,,,,,,4.461
20,,,,,,4.460
21,,,,,,2.788
